ID,CREATED_ON,LAST_MODIFIED,VERSION,DATA,DATA$m_session,DATA$m_gamehost,DATA$m_trackid,DATA$m_packet_format
F3B50A9D877166A4E053BB15000A0278,02-FEB-23 09.18.01.312084000 AM,02-FEB-23 09.18.01.312084000 AM,0.1,[unsupported data type],8461323895330178444,tf,Silverstone,2022
F3B50A9D8B7366A4E053BB15000A0278,02-FEB-23 09.21.51.306263000 AM,02-FEB-23 09.21.51.306263000 AM,0.1,[unsupported data type],5570621610671262666,tf,Silverstone,2022
